gene,logFC_unadj,logFC_adj,se_unadj,se_adj,p_unadj,p_adj,CCI,CCI_signed,FDR_unadj,FDR_adj
SRP14,0.11198525255956836,0.193502460994965,0.07290318380911036,0.06040525453496069,0.13816189211094612,0.004678344742999441,0.727928067064323,0.727928067064323,0.4869603732858651,0.09122360265668493
SRP14-AS1,-0.07888754986292788,0.2420104886999106,0.15130119373772302,0.12124530206013238,0.6070768846212946,0.060465123100116584,,,0.8552658910175989,0.24077977678007648
SRP19,0.2222400584438123,0.28141675828626667,0.09990256544771892,0.09392490437824881,0.03620581890581218,0.007424098495233665,0.26627377735960983,0.26627377735960983,0.3027440503200677,0.1065556947065807
SRP54,0.28475866460575816,0.3711591714973559,0.08897201739793743,0.10764330751079802,0.003973526636818099,0.002694823264437521,0.3034166037097317,0.3034166037097317,0.1536235518852174,0.08139169375867435
SRP68,0.06260866725553602,0.13727434569585517,0.07083245985167314,0.07917708929395065,0.3858977947049361,0.09915745375030263,,,0.72798989663965,0.3043099339753644
SRP72,0.0806260109586115,0.16862923873160535,0.10978117001210619,0.13444866421125096,0.47011184306363396,0.22497080000746614,,,0.7811294367313851,0.46365439448396883
SRP9,-0.020280124695837537,0.09909682021622461,0.08262316069236418,0.06784522941138443,0.8082824438373273,0.16045668341214267,,,0.9399215078062337,0.3882207074273174
SRPK1,0.27114681540515867,0.40265685037905247,0.12124135595626283,0.11431810385526539,0.03531342329750389,0.0022773699376254916,0.4850141233537488,0.4850141233537488,0.30261987770800325,0.0783304596707438
SRPK2,0.09465985317980381,0.17386921923356774,0.11567343194970763,0.1022807481604325,0.42156267868084485,0.1054583145463897,,,0.7519883865431002,0.3139163698945
SRPR,0.15739437366139716,0.29777389733383713,0.08948256755623145,0.08571859972462635,0.09188703957645457,0.002541713533284515,0.891896707657662,0.891896707657662,0.41855676815531256,0.0802463631738811
SRPRB,0.10034334633710353,0.2236160535807017,0.13692665616361155,0.1634808917815973,0.4710681458016125,0.18732339380894827,1.0,1.2285090316747405,0.7811911721844147,0.4198142118401006
SRR,0.10954107902858647,0.16031797575894557,0.12526385460672884,0.13739822644083313,0.39089564093502227,0.25772258485508087,0.4635420536354958,0.4635420536354958,0.7315988881664691,0.49695810149919883
SRRD,0.22667715050830678,0.05114720695176654,0.0872563578446178,0.10102546547309289,0.016087848552885135,0.6184840873799384,0.7743609938757713,-0.7743609938757713,0.23271568067390602,0.789854593277887
SRRM1,-0.0327080015036205,0.12128926115047513,0.07742774488368327,0.06831261679906901,0.6766322879119613,0.09183546351852878,,,0.883968028769896,0.2930064831550222
SRRM2,-0.008553327401478916,0.1271458933350687,0.08890876965485613,0.09732800529887156,0.9241923645753258,0.20702230584393522,,,0.9760190111948789,0.4425295409890339
SRRM2-AS1,0.10330378814372179,0.11464102453492694,0.05604625249698879,0.0658256719844343,0.07822693426027841,0.09774816865258826,0.1097465697524294,0.1097465697524294,0.3965383269793265,0.30183220036135133
SRRT,0.11539239585590053,0.17617672998866601,0.08918422196898121,0.09615961092598341,0.20855451857883994,0.08265517239535898,0.5267620425237692,0.5267620425237692,0.5731651989794796,0.27906833950026927
SRSF1,0.03950028280861198,0.19427620188060615,0.08109989054022375,0.09141988108927332,0.6308274618772616,0.046917644529766926,,,0.8647090504271335,0.21481484234869408
SRSF10,-0.11414005943405814,0.06812674733591827,0.14152007579372802,0.13626599806035591,0.4281992050759882,0.6228481922428738,1.0,1.596869737703939,0.7562378813279409,0.7930394698791724
SRSF11,0.005343176126963996,0.13703954338275387,0.08307227166980255,0.08224412583244677,0.949271502784379,0.11206411656125759,,,0.9852486304066848,0.3230069967170325
SRSF2,0.1217755091103041,0.16961639941278142,0.09138328652059224,0.08467324180628213,0.19572224086220044,0.059631556734192945,0.3928613450438799,0.3928613450438799,0.5576086401497238,0.23923487540630486
SRSF3,-0.04850469468419836,0.0769694777754803,0.08361903088678684,0.06879457017555778,0.5675088231209453,0.27715852835562554,,,0.8405841471972161,0.516333454540065
SRSF4,0.16584931871048586,0.2552193474261284,0.07613730367913718,0.0886113794125568,0.03988893446577967,0.009586299071662004,0.5388628027568261,0.5388628027568261,0.31567732905037554,0.11486040786150464
SRSF5,-0.27074945793403926,-0.03240946533618533,0.1376785964826193,0.12711932282988783,0.061417772224437915,0.8014986005138568,0.8802972106260651,0.8802972106260651,0.3672496192362399,0.899027144274652
SRSF6,-0.1410799121263916,0.03977560962167978,0.09134698420873605,0.09943808147255566,0.13613085738312924,0.69361514378305,1.0,1.2819367337431098,0.4843151297441756,0.8379030660588859
SRSF7,0.05951117726166004,0.16477320038688648,0.08725295903594169,0.08990583107081268,0.502016689818676,0.08256192054157593,,,0.8008592753872729,0.27906833950026927
SRSF9,0.17580189477022748,0.16142360016883145,0.08653182231727541,0.06563606203455535,0.05389899723716406,0.02367904406607413,0.0817869148690827,-0.0817869148690827,0.3523134354463061,0.16425752817605044
SS18,0.08407745544473312,0.1246794591868079,0.0775614609106324,0.07528979579318319,0.2895930720392332,0.11414584029389648,,,0.64698632913842,0.32540600101133577
SS18L1,0.009492109284145667,0.01819553368756584,0.1125726276794472,0.1207592728734691,0.9335317580476636,0.8818194080543995,,,0.9786575036779895,0.943975638495595
SS18L2,0.04345128397700673,0.11903318069578657,0.10228789810824063,0.08521528545264608,0.6749344753513715,0.1785613089332397,,,0.8836479200307099,0.4097745122080021
SSB,0.03630577068937228,0.16815264271938454,0.07574830215695996,0.07232915160595739,0.6362547050539773,0.03131503227395801,,,0.8674215388995115,0.17986716171729855
SSBP1,0.020097455955003934,0.18146280015833907,0.09508601481295513,0.07567268443636688,0.8344673557253038,0.026916999547030925,,,0.9485535620035558,0.17076445899890033
SSBP2,-0.7668994976809116,-0.644903019989169,0.1428314013256096,0.1865580333992679,1.875190417409317e-05,0.0026416043697066872,0.15907752979452647,0.15907752979452647,0.016432918691230314,0.08139169375867435
SSBP3,0.027641728737988185,-0.08199089235256461,0.16328188926825996,0.1204018806515421,0.8670498944555779,0.5041016768017976,,,0.9592105456292793,0.7108581585440993
SSBP4,0.23695722655973636,0.16035355379585275,0.18000702321285744,0.13779876145083222,0.20101559834222396,0.25895985569901175,0.3232805931941983,-0.3232805931941983,0.562800860534299,0.49817086857535037
SSFA2,0.08222336006681331,-0.003543691854989105,0.17174276989376036,0.15095906706737364,0.6366302793997565,0.9815165493094931,,,0.8674215388995115,0.9908636080695251
SSH1,0.037673686085246245,-0.03403966879864887,0.1258867122913635,0.13416819780047745,0.7674242195770056,0.8024456015554655,,,0.9258251988197264,0.8997132727500619
SSH2,0.15389075874999322,0.18460317293321685,0.12775183917560995,0.14884750089045018,0.24060473775328034,0.22999351351337116,0.19957282966625817,0.19957282966625817,0.6002560785285387,0.468650555748452
SSH3,0.22404237644914501,0.07716952223922524,0.1471513548867933,0.11587945841769624,0.14150786820714925,0.5134501712198103,0.655558365956086,-0.655558365956086,0.4917052412326135,0.7185459917688072
SSNA1,0.10978152724205731,0.09768410503846758,0.07974990062305125,0.05496174629692586,0.1818985198904857,0.09152922736513454,0.11019542638458761,-0.11019542638458761,0.5428050043042985,0.2923904488504734
SSPN,0.09169940504767332,0.011948656618407206,0.3398991665255015,0.3571603472231458,0.7897321007084966,0.9736610251703643,,,0.9324558343453322,0.9876890067535786
SSR1,0.06804641734143531,0.09282752029629546,0.12595728431154155,0.15285216433447907,0.5942287429772524,0.5508397783345063,,,0.8506926979588568,0.7438332654765365
SSR2,-0.04157518539423925,0.07639964046518553,0.10530119367474179,0.0860349760792533,0.696612170660456,0.3856410006572213,,,0.8930413541853286,0.61782461348436
SSR3,0.2557764203083091,0.20622963470428715,0.1824506183670348,0.22295378542010832,0.17429888623990747,0.3665719361578803,0.19371131062159286,-0.19371131062159286,0.5333237568956201,0.6014964549738281
SSR4,0.14071110465527642,0.269483386669842,0.10852841202271599,0.12824715707270545,0.20764862644980359,0.04918937496198672,0.9151536570623948,0.9151536570623948,0.572344596487697,0.2201546931819256
SSRP1,0.1295229277813344,0.2372583709678665,0.10047891398315424,0.09600174623456678,0.2101932224513755,0.02308907684961239,0.831786657636517,0.831786657636517,0.5745456246877377,0.16265054404509907
SSSCA1,0.1178350809527714,0.241787856347846,0.10188086753518633,0.09078486783563021,0.25930943998454853,0.015355802879940907,1.0,1.0519174289425335,0.6179973090451825,0.13692600599526766
SSSCA1-AS1,-0.03215928980677034,0.0322607757610005,0.07983570990595663,0.10448359659913013,0.6908016137240773,0.7608610369115663,,,0.8896431088863522,0.8775224821747161
SSTR3,-0.3444421369711173,0.013639484333235839,0.19873488085900787,0.15499736238146497,0.09645340759304559,0.9307990080865007,1.0,1.0395987681796888,0.42716044771657247,0.9700782950533346
